ID,タイトル,概要,回路図JS GET,CHIRIMEN ORIG参考リンク
hello-real-world,Lチカ or モーターON/OFF,GPIO PORT26に繋いだLEDを点滅させる。またはモータのOn/Offを繰り返す
gpio-onchange,スイッチ,GPIO PORT5に繋いだスイッチのON/OFFを検知する
gpio-polling,スイッチ2,GPIO PORT5に繋いだスイッチのON/OFFをポーリングで検知する
gpio-inout,スイッチ+(LED or モータ),GPIO PORT5に繋いだスイッチのON/OFFを検知してPORT26に繋いだLEDもしくはモータをON/OFFする
gpio-onchange,タッチセンサ,GPIO PORT5に繋いだタッチセンサ(TP223使用)のON/OFFを検知する
hbridge1,モータ正転・逆転制御,GPIO接続のH-BridgeモータドライバでDCモータの正転・逆転制御を可能にします。
a4988,ステッピングモータ制御,GPIO接続のA4988ステッピングモータ専用ドライバで２相ステッピングモータの正転・逆転・回転ステップ数を制御を可能にします。<span style="color:red">ステッピングモータは停止中も常に電流が流れているため容易に加熱します。火傷に注意！</span>
gpio-camera,スイッチ+カメラ,GPIOのスイッチをトリガにしてPiZero専用カメラ撮影
isd1820,ボイスレコーダー,ボイスレコーダー(ISD1820)基板をGPIOに接続し、録音した音声を再生する(録音をコントロールすることも可能)
dfplayer,MP3プレーヤー基板,MP3プレーヤー基板(DFPlayer Mini(およびその互換品))をGPIOに接続し、音声を再生する
serial_gps,GPSレシーバ,シリアル接続のGPSレシーバを接続し、位置情報を取得する
